geoid,county,classification,stage1_result,jobs_2022,povrate_2024,has_any_permits,median_hhincome_2024,median_homevalue_2024
24510040200,Baltimore city,Already Attractive,Advances to Scoring,21188.0,0.30637813,1,43361.0,
24001002200,Allegany County,Less Likely,Advances to Scoring,448.0,0.18920471,0,49911.0,102100.0
24005404502,Baltimore County,Less Likely,Advances to Scoring,236.0,0.20982143,0,71944.0,284200.0
24033803803,Prince George's County,Less Likely,Advances to Scoring,4145.0,0.026664402,0,91553.0,361200.0
24033801906,Prince George's County,Less Likely,Advances to Scoring,224.0,0.14025027,0,76806.0,311400.0
24001002100,Allegany County,Less Likely,Advances to Scoring,453.0,0.17950556,0,54299.0,87700.0
24510130804,Baltimore city,Less Likely,Advances to Scoring,1283.0,0.14950819,1,71250.0,242900.0
24031701219,Montgomery County,Already Attractive,Advances to Scoring,6861.0,0.076804914,0,87188.0,
24033802700,Prince George's County,Goldilocks,Advances to Scoring,244.0,0.10660303,0,87292.0,330600.0
24005451600,Baltimore County,Less Likely,Advances to Scoring,1976.0,0.08361204,0,73542.0,219200.0
24510261000,Baltimore city,Already Attractive,Advances to Scoring,169.0,0.22885835,1,98125.0,261800.0
24005421200,Baltimore County,Goldilocks,Advances to Scoring,206.0,0.20601092,0,64886.0,237600.0
24045010504,Wicomico County,Less Likely,Advances to Scoring,814.0,0.20143723,0,71425.0,231400.0
24033803300,Prince George's County,Goldilocks,Advances to Scoring,3735.0,0.065260381,0,83281.0,267900.0
24510090100,Baltimore city,Less Likely,Advances to Scoring,417.0,0.13954771,1,69029.0,201500.0
24011955100,Caroline County,Less Likely,Advances to Scoring,566.0,0.12307165,0,62717.0,283900.0
24031701417,Montgomery County,Less Likely,Advances to Scoring,1051.0,0.10888078,0,78750.0,360000.0
24510100200,Baltimore city,Already Attractive,Advances to Scoring,40.0,0.47782004,1,24360.0,
24005451402,Baltimore County,Less Likely,Advances to Scoring,376.0,0.35313341,0,53735.0,236700.0
24033805700,Prince George's County,Less Likely,Advances to Scoring,296.0,0.16792202,0,95985.0,344700.0
24003730514,Anne Arundel County,Already Attractive,Advances to Scoring,284.0,0.090666667,0,61587.0,
24033801405,Prince George's County,Less Likely,Advances to Scoring,3626.0,0.12395908,0,66991.0,347200.0
24033802407,Prince George's County,Less Likely,Advances to Scoring,759.0,0.091041729,0,66116.0,321100.0
24033804802,Prince George's County,Already Attractive,Advances to Scoring,116.0,0.076897904,0,66420.0,
24510030100,Baltimore city,Goldilocks,Advances to Scoring,712.0,0.5,1,57200.0,279400.0
24033802600,Prince George's County,Less Likely,Advances to Scoring,75.0,0.16698922,0,67895.0,331900.0
24510270801,Baltimore city,Less Likely,Advances to Scoring,174.0,0.13148372,1,61410.0,195900.0
24023000601,Garrett County,Less Likely,Advances to Scoring,3732.0,0.11138799,0,76382.0,230700.0
24033802203,Prince George's County,Less Likely,Advances to Scoring,2278.0,0.12588069,0,68333.0,341600.0
24025301601,Harford County,Goldilocks,Advances to Scoring,1581.0,0.084477924,0,82298.0,235900.0
24510270802,Baltimore city,Less Likely,Advances to Scoring,255.0,0.1400426,1,61595.0,192200.0
24023000100,Garrett County,Less Likely,Advances to Scoring,1047.0,0.15588972,0,59094.0,206700.0
24033803801,Prince George's County,Less Likely,Advances to Scoring,912.0,0.098676749,0,93452.0,361800.0
24005401302,Baltimore County,Less Likely,Advances to Scoring,35.0,0.14467354,0,63013.0,224500.0
24005411411,Baltimore County,Less Likely,Advances to Scoring,753.0,0.19032922,0,74864.0,295600.0
24005402404,Baltimore County,Less Likely,Advances to Scoring,214.0,0.17650793,0,59741.0,282100.0
24510280401,Baltimore city,Less Likely,Advances to Scoring,281.0,0.21314335,1,70107.0,232700.0
24510270702,Baltimore city,Less Likely,Advances to Scoring,397.0,0.10251631,1,63873.0,240600.0
24017850906,Charles County,Less Likely,Advances to Scoring,521.0,0.12141068,0,72679.0,349000.0
24019970200,Dorchester County,Less Likely,Advances to Scoring,3020.0,0.1391643,0,69475.0,230200.0
24033802104,Prince George's County,Less Likely,Advances to Scoring,1284.0,0.13782696,0,52344.0,308300.0
24001002300,Allegany County,Goldilocks,Advances to Scoring,1302.0,0.17839783,0,72188.0,157800.0
24019970600,Dorchester County,Less Likely,Advances to Scoring,1771.0,0.15859121,0,47610.0,222000.0
24510250102,Baltimore city,Less Likely,Advances to Scoring,227.0,0.10003041,1,61199.0,158000.0
24031701422,Montgomery County,Already Attractive,Advances to Scoring,411.0,0.11021505,0,61157.0,
24510250204,Baltimore city,Already Attractive,Advances to Scoring,185.0,0.48954946,1,21016.0,
24005411307,Baltimore County,Less Likely,Advances to Scoring,1822.0,0.24749798,0,79327.0,316600.0
24510020200,Baltimore city,Less Likely,Advances to Scoring,208.0,0.2308201,1,63533.0,330900.0
24510080500,Baltimore city,Less Likely,Advances to Scoring,255.0,0.51911861,1,27140.0,47600.0
24043000601,Washington County,Less Likely,Advances to Scoring,2428.0,0.16910331,0,57813.0,226200.0
24510260203,Baltimore city,Less Likely,Advances to Scoring,287.0,0.17622951,1,63702.0,170800.0
24005451500,Baltimore County,Less Likely,Advances to Scoring,387.0,0.17746846,0,79640.0,186200.0
24005450200,Baltimore County,Less Likely,Advances to Scoring,473.0,0.14909638,0,60741.0,278200.0
