geoid,total_parcels,land_to_value_ratio,vacancy_proxy,market_activity_count,median_sale_price,owner_occupancy_rate,pct_residential,pct_commercial,pct_industrial,assessed_value_per_parcel
24510010100,1687,0.19358713006466166,0.03023117960877297,397,330000.0,0.0,0.8855957320687611,0.046235921754593956,0.0,19064.88263189093
24510010200,1510,0.015990393273097852,0.016556291390728478,379,285000.0,0.0,0.9768211920529801,0.011920529801324504,0.0,16102.847682119205
24510010300,1225,0.026156099602427287,0.015510204081632653,304,286500.0,0.0,0.9722448979591837,0.014693877551020407,0.0,32635.51020408163
24510010400,1368,0.012478601248563882,0.03435672514619883,366,305000.0,0.0,0.652046783625731,0.05263157894736842,0.006578947368421052,11865.798976608186
24510010500,833,0.01603482999644592,0.04201680672268908,205,275000.0,0.0,0.9339735894357744,0.026410564225690276,0.0,8300.720288115246
24510020100,901,0.0,0.03662597114317425,221,253500.0,0.0,0.9544950055493896,0.011098779134295227,0.0,22285.238623751386
24510020200,883,0.0,0.0464326160815402,189,259900.0,0.0,0.8924122310305775,0.08493771234428087,0.0,7997.055492638731
24510020300,2046,0.0019187084297014048,0.10801564027370479,456,305000.0,0.0,0.36901270772238515,0.15102639296187684,0.013196480938416423,24526.119745845554
24510030100,710,0.009549815412761939,0.39154929577464787,114,158497.5,0.0,0.4591549295774648,0.2563380281690141,0.04084507042253521,172280.9323943662
24510030200,1742,0.024894500205676677,0.1417910447761194,331,350000.0,0.0,0.20091848450057406,0.12112514351320322,0.00975889781859931,143685.8208955224
24510040100,1225,0.0434158722914062,0.2220408163265306,215,297975.0,0.0,0.0032653061224489797,0.4889795918367347,0.0,1174976.5257142857
24510040200,175,0.006919333819615168,0.7257142857142858,32,297250.0,0.0,0.04,0.22857142857142856,0.005714285714285714,13074843.114285715
24510060100,1277,0.0,0.04150352388410337,326,157750.0,0.0,0.9812059514487079,0.00548159749412686,0.0,4654.659357870008
24510060200,1495,0.06124092442990081,0.05016722408026756,448,167000.0,0.0,0.9759197324414716,0.006020066889632107,0.0,11556.722408026755
24510060300,1032,0.0,0.1375968992248062,247,179900.0,0.0,0.8701550387596899,0.03391472868217054,0.0,8941.860465116279
24510060400,540,0.0,0.18888888888888888,110,150000.0,0.0,0.8574074074074074,0.05185185185185185,0.0,534782.0370370371
24510070100,1072,0.0,0.0960820895522388,353,55000.0,0.0,0.9822761194029851,0.005597014925373134,0.0,5400.186567164179
24510070200,1696,0.0,0.1875,536,51000.0,0.0,0.9091981132075472,0.027122641509433963,0.0,7556.132075471698
24510070300,838,0.004117647058823529,0.2971360381861575,227,80000.0,0.0,0.788782816229117,0.11097852028639618,0.0,59283.05489260143
24510070400,553,5.242846729881244e-07,0.7269439421338155,46,47000.0,0.0,0.298372513562387,0.039783001808318265,0.0,860230.8047016275
24510080101,1513,0.24440168665225387,0.06939854593522803,302,100000.0,0.0,0.9458030403172505,0.024454725710508923,0.0026437541308658294,67059.6827495043
24510080102,926,0.027054493222012747,0.06911447084233262,304,67000.0,0.0,0.9406047516198704,0.04535637149028078,0.0010799136069114472,5598.488120950324
24510080200,1417,0.0005896226415094339,0.662667607621736,223,25436.5,0.0,0.6993648553281581,0.02611150317572336,0.01058574453069866,18064.925899788286
24510080301,1236,0.0,0.39239482200647247,389,30400.0,0.0,0.8705501618122977,0.009708737864077669,0.0008090614886731392,9280.663430420713
24510080302,1137,0.10256410256410256,0.04133685136323659,304,61800.0,0.0,0.9824098504837291,0.0043975373790677225,0.002638522427440633,14633.597185576078
